"LineDiscount","CustomerUnit","Municipality","County","Country","NoOfEmployees","Potential","AccessoryRatio","NSB","CPLow","Days","TargetDays","NrOfOrder","Software"
"No","SMB Small","Ekerö","Stockholm","Sweden","1,3","0","1","4399","0,251134349",518,9999,1,"No"
"No","SMB Small","Helsinki","Uusimaa","Finland","1,8","0","0,320656","873,24","0,192604553",432,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","16956","0,053654","22272","0,132617636",173,9999,2,"No"
"Yes","Corporate","Stockholm","Stockholm","Sweden","49,9","448601","0,607573","44568,89","0,100660573",4,9999,41,"No"
"No","SMB Mid","Oslo","Oslo","Norway","68","0","0","975,06","0,353403893",704,9999,1,"No"
"No","SMB Small","Umeå","Västerbotten","Sweden","1,8","0","0","8194","0,10240908",627,9999,2,"No"
"No","SMB Small","Östersund","Jämtland","Sweden","6,5","0","0,31197","36324","0,136975553",589,9999,7,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,3","0","0","8999","0,041625736",607,9999,1,"No"
"No","SMB Small","Stockholm","Stockholm","Sweden","1,8","15102","0,077282","47203,64","0,084457258",179,875,15,"Yes"
"No","SMB Small","Horsens","Midtjylland","Denmark","6,5","0","0,001645","53682,22","0,085731365",482,482,4,"Yes"
"Yes","Corporate","Solna","Stockholm","Sweden","379,6","3469604","0,354712","86938","0,129774782",4,9999,59,"No"
"No","SMB Small","Fredrikstad","Østfold","Norway","1,3","0","0,172613","7324,53","0,097923007",531,9999,3,"No"
"No","SMB Small","København","Hovedstaden","Denmark","1,3","0","1","3261,46","0,149577183",603,9999,1,"No"
"No","SMB Small","Helsinki","Uusimaa","Finland","-1","0","0,025568","12676,84","0,094148857",431,9999,2,"No"
"Yes","SMB Small","Göteborg","Västra Götaland","Sweden","30","326700","0,193656","398692,4","0,114375318",7,9999,34,"No"
"No","SMB Mid","Haderslev","Syddanmark","Denmark","1,8","17262","0,1553","6428,91","0,100010733",230,9999,2,"No"
"Yes","SMB Large","København","Hovedstaden","Denmark","11,9","144466","0,035665","31341,93","0,093970282",74,9999,5,"No"
"No","SMB Small","Glostrup","Hovedstaden","Denmark","-1","9984","0","9942,54","0,018089945",25,9999,1,"No"
"No","SMB Small","Gladsaxe","Hovedstaden","Denmark","1,8","0","0,280686","871,72","0,10214289",607,9999,2,"No"
"No","SMB Small","Bergen","Hordaland","Norway","1,3","7059","0","4854,87","0,141756628",203,9999,1,"No"
"No","SMB Small","Härjedalen","Jämtland","Sweden","1,8","18828","0,068384","27024,01","0,110574263",5,452,6,"Yes"
"No","SMB Mid","Ängelholm","Skåne","Sweden","-1","0","0,080881","294689,84","0,086489341",70,9999,33,"No"
"No","SMB Small","Gotland","Gotland","Sweden","6,5","0","0","2499","0,155318127",385,9999,1,"No"
"No","SMB Small","Täby","Stockholm","Sweden","1,3","15249","0","10642","0,067706258",74,9999,2,"No"
